Age,AnnualIncome,CreditScore,EmploymentStatus,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,BankruptcyHistory,PaymentHistory,TotalAssets,TotalLiabilities,MonthlyIncome,NetWorth,MonthlyLoanPayment,RiskScorePercentage
45,39948,617,Employed,13152,48,Married,2,Own,0,29,146111,19183,3329.0,126928,419.8059916,53.333333333333336
38,39709,628,Employed,26045,48,Single,1,Mortgage,0,21,53204,9595,3309.083333,43609,794.0542382,53.333333333333336
47,40724,570,Employed,17627,36,Married,2,Rent,0,20,25176,128874,3393.666667,5205,666.4066877,66.66666666666666
58,69084,545,Employed,37898,96,Single,1,Mortgage,0,27,104822,5370,5757.0,99452,1047.50698,50.0
37,103264,594,Employed,9184,36,Married,1,Mortgage,0,26,244305,17286,8605.333333,227019,330.1791405,40.0
37,178310,626,Self-Employed,15433,72,Married,0,Rent,0,16,67914,40843,14859.16667,27071,385.5770742,53.333333333333336
58,51250,564,Employed,12741,48,Married,0,Rent,0,21,65624,43894,4270.833333,21730,391.3003517,63.33333333333333
49,97345,516,Employed,19634,12,Divorced,5,Mortgage,0,19,50177,11556,8112.083333,38621,1827.360055,46.666666666666664
34,116841,603,Employed,55353,60,Divorced,5,Own,1,25,29632,49940,9736.75,7711,1762.199026,53.333333333333336
46,40615,612,Employed,25443,12,Married,4,Other,0,23,129664,12852,3384.583333,116812,2353.577424,66.66666666666666
34,73646,478,Employed,48716,84,Single,3,Own,0,25,148966,20315,6137.166667,128651,1504.452489,46.666666666666664
34,15000,591,Employed,30088,24,Married,2,Mortgage,0,21,33062,3353,1250.0,29709,1505.609528,53.333333333333336
42,74453,573,Employed,16154,60,Married,1,Rent,0,26,16204,35493,6204.416667,5231,479.5398903,60.0
18,100508,580,Employed,20439,60,Married,1,Rent,0,20,181813,99030,8375.666667,82783,594.3815332,53.333333333333336
19,47624,597,Employed,27197,36,Married,1,Mortgage,0,15,45336,9418,3968.666667,35918,1013.829375,53.333333333333336
33,56650,605,Employed,12652,36,Single,1,Mortgage,0,21,261435,11144,4720.833333,250291,480.840828,26.666666666666668
27,50042,582,Employed,19105,60,Single,1,Rent,0,36,11162,89196,4170.166667,7021,492.5814437,60.0
43,142326,644,Employed,13499,96,Widowed,2,Mortgage,0,18,73836,4213,11860.5,69623,303.1952309,40.0
29,16021,553,Employed,14655,72,Single,0,Rent,0,25,29278,25345,1335.083333,3933,381.1768758,66.66666666666666
23,34698,594,Employed,14314,60,Widowed,3,Mortgage,0,27,128035,72605,2891.5,55430,404.7350889,53.333333333333336
57,106749,630,Employed,15698,48,Single,0,Rent,0,21,212568,8152,8895.75,204416,481.3942886,56.666666666666664
37,59138,594,Employed,13205,72,Married,0,Own,0,18,24257,18681,4928.166667,5576,325.1174211,46.666666666666664
40,114216,635,Employed,9809,60,Single,3,Rent,0,26,23984,27250,9518.0,2482,260.4869053,53.333333333333336
22,63300,503,Employed,16476,24,Married,2,Rent,0,29,14710,53225,5275.0,6903,864.2694728,60.0
33,39676,555,Employed,47795,60,Single,1,Other,0,19,157749,76577,3306.333333,81172,1412.597891,66.66666666666666
41,59192,594,Unemployed,45608,36,Divorced,4,Mortgage,0,18,67609,9196,4932.666667,58413,1696.543489,60.0
26,15059,462,Employed,20240,24,Single,3,Other,0,16,29861,13107,1254.916667,16754,1076.202706,66.66666666666666
44,15305,608,Self-Employed,21452,48,Single,4,Mortgage,0,21,16936,7005,1275.416667,9931,682.1440642,53.333333333333336
32,35498,622,Employed,11136,36,Married,0,Own,0,18,34189,31484,2958.166667,2705,394.1781845,53.333333333333336
36,60227,576,Employed,25264,84,Divorced,3,Own,0,27,141168,35773,5018.916667,105395,622.0190933,46.666666666666664
32,23861,592,Self-Employed,19570,36,Married,0,Other,0,29,85166,8627,1988.416667,76539,724.3380618,66.66666666666666
62,73843,667,Unemployed,44668,60,Single,1,Other,1,16,56887,90622,6153.583333,3068,1271.053755,90.0
39,61099,559,Employed,10094,84,Married,0,Mortgage,0,21,69823,23540,5091.583333,46283,262.6701512,46.666666666666664
27,15000,535,Employed,11318,120,Single,2,Mortgage,0,15,303949,13680,1250.0,290269,335.3986467,33.33333333333333
49,34738,520,Employed,10166,72,Single,2,Mortgage,0,27,249298,10972,2894.833333,238326,288.9598327,53.333333333333336
25,85889,571,Employed,24186,72,Married,2,Rent,0,31,18899,5554,7157.416667,13345,696.1364545,60.0
42,78701,552,Employed,18326,60,Married,1,Rent,0,25,170720,30154,6558.416667,140566,505.0115503,60.0
18,24914,604,Employed,8015,36,Married,4,Mortgage,0,17,49999,8146,2076.166667,41853,278.9475811,53.333333333333336
24,57231,508,Unemployed,35876,48,Married,4,Rent,0,20,214229,73682,4769.25,140547,1150.799076,73.33333333333333
42,163303,655,Self-Employed,12850,72,Single,2,Other,0,19,115322,17900,13608.58333,97422,300.0461613,53.333333333333336
48,38453,595,Unemployed,30517,48,Divorced,0,Own,0,22,46352,3481,3204.416667,42871,971.8230602,66.66666666666666
